x,y
1857405.156,476790.3988
1853405.156,475790.3988
1855405.156,475790.3988
1856405.156,475790.3988
1857405.156,475790.3988
1858405.156,475790.3988
1859405.156,475790.3988
1854405.156,474790.3988
1855405.156,474790.3988
1856405.156,474790.3988
1857405.156,474790.3988
1858405.156,474790.3988
1859405.156,474790.3988
1860405.156,474790.3988
1861405.156,474790.3988
1854405.156,473790.3988
1855405.156,473790.3988
1856405.156,473790.3988
1857405.156,473790.3988
1858405.156,473790.3988
1859405.156,473790.3988
1860405.156,473790.3988
1861405.156,473790.3988
1862405.156,473790.3988
1863405.156,473790.3988
1855405.156,472790.3988
1856405.156,472790.3988
1857405.156,472790.3988
1858405.156,472790.3988
1859405.156,472790.3988
1860405.156,472790.3988
1861405.156,472790.3988
1862405.156,472790.3988
1863405.156,472790.3988
1864405.156,472790.3988
1856405.156,471790.3988
1857405.156,471790.3988
1858405.156,471790.3988
1859405.156,471790.3988
1860405.156,471790.3988
1861405.156,471790.3988
1862405.156,471790.3988
1863405.156,471790.3988
1864405.156,471790.3988
1865405.156,471790.3988
1859405.156,470790.3988
1860405.156,470790.3988
1861405.156,470790.3988
1862405.156,470790.3988
1863405.156,470790.3988
1864405.156,470790.3988
1865405.156,470790.3988
1862405.156,469790.3988
1863405.156,469790.3988
1864405.156,469790.3988
